;;;;;;;;;;
Título do Acordo;Tipo do Acordo;;;Outra Parte;Assuntos;Nº de Série;Nº da Pasta;;Data;Status da Tramitação 
"Ajuste Complementar ao Acordo Básico de Cooperação Técnica entre o Governo da República Federativa do Brasil e o Governo da República Federal da Alemanha para a Implementação do Projeto de Cooperação Técnica ""Transparência e Sustentabilidade nas Cadeias Produtivas na Amazônia""";Bilateral;;;Alemanha;Cooperação Técnica;12672;596;;13/04/2023;Em Vigor
"Ajuste Complementar ao Acordo Básico de Cooperação Técnica entre o Governo da República Federativa do Brasil e o Governo da República Federal da Alemanha para a Implementação do Projeto de Cooperação Técnica ""Acoplamento de Setores e Economia Verde"".";Bilateral;;;Alemanha;Cooperação Técnica;12671;595;;13/04/2023;Em Vigor
"Acordo por Troca de Notas referente ao ""Project for the Enhancement of Genomic Monitoring Network for COVID-19""";Bilateral;;;Japão;Cooperação Técnica;12670;78;;09/01/2023;Em Vigor
Memorando de Entendimento sobre Cooperação Acadêmica entre a Instituto Rio Branco do Ministério das Relações Exteriores da República Federativa do Brasil e o Ministério das Relações Exteriores da República do Panamá;Bilateral;;;Panamá;Academias Diplomáticas;12669;44;;28/03/2023;Em Vigor
"Acordo por Troca de Notas para o projeto ""Reflorestamento e proteção das florestas pelos pequenos produtores"".";Bilateral;;;Alemanha;Cooperação Financeira;12668;594;;27/01/2023;Em Vigor
"Acordo por Troca de Notas para os projetos ""Conservação Florestal na Região Amazônica do Brasil - Fundo Floresta - Bioeconomia"" e "" Conservação Florestal na Região Amazônica do Brasil - Fundo Floresta - Controle de Desmatamento"".";Bilateral;;;Alemanha;Cooperação Financeira;12667;593;;27/01/2023;Em Vigor
Acordo sobre Cooperação Cultural entre o Governo da República Federativa do Brasil e o Governo da República da Croácia;Bilateral;;;Croácia;Cooperação Artístico-cultural;12666;9;;14/02/2023;Tramitação MRE
Acordo entre o Governo da República Federativa do Brasil e o Governo da República da Croácia sobre Cooperação na Área de Educação;Bilateral;;;Croácia;"Cooperação Educacional e Esportiva 
Cooperação Artístico-cultural 
Cooperação Universitária";12665;8;;14/02/2023;Tramitação Ministérios/Casa Civil
Acordo sobre Serviços Aéreos entre o Governo da República Federativa do Brasil e o Governo da República Helênica;Bilateral;;;Grécia;Transporte Aéreo;12664;19;;06/02/2023;Tramitação MRE
Acordo-Quadro entre a República Federativa do Brasil e a República Helênica sobre Cooperação no Domínio da Defesa;Bilateral;;;Grécia;Defesa e Assuntos Militares;12663;18;;06/02/2023;Tramitação Ministérios/Casa Civil
Memorando de Entendimento na Área do Turismo entre o Governo da República Federativa do Brasil e o Governo da República Helênica;Bilateral;;;Grécia;Turismo, Feira e Exposições;12662;17;;06/02/2023;Em Vigor
Ajuste Complementar ao Acordo Básico de Cooperação Técnica entre o Governo da República Federativa do Brasil e o Governo da República Federal da Alemanha para a Implementação do Projeto de Cooperação Técnica “Bioeconomia e Cadeias Produtivas no Brasil”;Bilateral;;;Alemanha;Cooperação Técnica;12661;592;;30/12/2022;Em Vigor
Ajuste Complementar ao Acordo Básico de Cooperação Técnica entre o Governo da República Federativa do Brasil e o Governo da República Federal da Alemanha para a implementação do projeto “Tecnologias Ambientalmente Adequadas e Desenvolvimento de Capacidades para a Implementação da Política Nacional de Resíduos Sólidos no Brasil”;Bilateral;;;Alemanha;Cooperação Técnica;12660;591;;30/12/2022;Em Vigor
Apêndice 64 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12659;;;01/02/2023;Em ratificação da(s) outra(s) Parte(s)
Apêndice 63 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12658;;;01/02/2023;Em ratificação da(s) outra(s) Parte(s)
Carta de intenções para o projeto de integração da produção de defesa Brasil - Argentina;Bilateral;;;Argentina;Defesa e Assuntos Militares;12657;481;;23/01/2023;Em Vigor
Acordo de Cooperação Antártica Entre a República Federativa do Brasil e a República Argentina;Bilateral;;;Argentina;Cooperação Científica e Tecnológica;12656;480;;23/01/2023;Tramitação MRE
Declaração Conjunta por ocasião da visita oficial à República Argentina do Presidente da República Federativa do Brasil, Luiz Inácio Lula da Silva;Bilateral;;;Argentina;Declaração Conjunta;12655;479;;23/01/2023;Em Vigor
Apêndice 62 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12654;;;01/01/2023;Em ratificação da(s) outra(s) Parte(s)
Apêndice 61 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12653;;;28/12/2022;Em ratificação da(s) outra(s) Parte(s)
Apêndice 60 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12652;;;01/12/2022;Em ratificação da(s) outra(s) Parte(s)
Apêndice 59 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12651;;;01/12/2022;Em ratificação da(s) outra(s) Parte(s)
Apêndice 58 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12650;;;01/12/2022;Em ratificação da(s) outra(s) Parte(s)
Resolução 2667 (2022) do Conselho de Segurança das Nações Unidas;Multilateral;;;N/A;CSNU - Resoluções;12649;;;20/12/2022;Em Vigor
Resolução 2662 (2022) do Conselho de Segurança das Nações Unidas;Multilateral;;;N/A;CSNU - Resoluções;12648;;;17/11/2022;Em Vigor
Acordo por Troca de Notas sobre a Emenda do Anexo B do Acordo sobre Segurança da Aviação Civil, celebrado entre o Governo da República Federativa do Brasil e a Delegação da União Europeia em Brasília, em 14 de julho de 2010.Nota de proposta da UE em 12 de abril de 2022 e Nota de resposta brasileira em 6 de dezembro de 2022.;Bilateral;;;União Europeia;Transporte Aéreo;12647;41-A;;06/12/2022;Tramitação MRE
