;;;;;;;;;;
Título do Acordo;Tipo do Acordo;;;Outra Parte;Assuntos;Nº de Série;Nº da Pasta;;Data;Status da Tramitação 
Convenção Internacional sobre a Eliminação de Todas as Formas de Discriminação Racial;Multilateral;;;N/A;Direitos Humanos;8729;;;07/03/1966;Em Vigor
Convenção Adicional à Convenção Internacional sobre o Transporte de Passageiros e Bagagem por Via Férrea (CIV) de 25/02/61 Relativo à Responsabilidade da Ferrovia pela Morte ou Lesões Corporais dos Passageiros. Com Protocolo B.;Multilateral;;;N/A;Transporte Terrestre;8728;;;26/02/1966;Tramitação MRE
Protocolo de Assinatura da Convenção sobre Arqueação de Embarcações de Navegação Interior.;Multilateral;;;N/A;Transporte Fluvial e Marítimo;8727;;;15/02/1966;Tramitação MRE
Convenção sobre Arqueação de Embarcações de Navegação Interior, com Anexo.;Multilateral;;;N/A;Transporte Fluvial e Marítimo;8726;;;15/02/1966;Tramitação MRE
Artigos do Acordo sobre o Instituto Internacional do Algodão;Multilateral;;;N/A;"Agricultura e Pecuária 
Guerra";8724;;;17/01/1966;Em Vigor
Emenda ao Artigo 109 da Carta das Nações Unidas;Multilateral;;;N/A;ONU;8723;;;20/12/1965;Em Vigor
Terceira Ata que Prorroga a Declaração sobre a Adesão Provisória da Tunísia de 12 de Novembro de 1959.;Multilateral;;;N/A;Gatt;8722;;;14/12/1965;Em Vigor
Terceira Ata que Prorroga a Declaração sobre a Adesão Provisória da Islandia ao GATT.;Multilateral;;;N/A;Gatt;8721;;;14/12/1965;Em Vigor
Ata que Prorroga a Declaração de 13 de Novembro de 1962 sobre a Adesão Provisória da Iuguslávia.;Multilateral;;;N/A;Gatt;8720;;;14/12/1965;Em Vigor
Acordo que Estabelece o Banco Asiático de Desenvolvimento.;Multilateral;;;N/A;Mercosul;8719;;;04/12/1965;Tramitação MRE
Protocolo Modificativo da Convenção Internacional sobre a Pesca no Atlântico Noroeste, Relativa às Medidas de Controle, de 08/02/49.;Multilateral;;;N/A;Pesca;8718;;;29/11/1965;Tramitação MRE
Protocolo Modificativo da Convenção Internacional sobre a Pesca no Atlântico Noroeste, Relativa à Entrada em Vigor das Propostas Adotadas pela Comissão, de 08 de fevereiro de 1949.;Multilateral;;;N/A;Pesca;8717;;;29/11/1965;Tramitação MRE
Convenção Relativa à Citação, Intimação e Notificação no Estrangeiro de Documentos Judiciais e Extrajudiciais em Matéria Civil e Comercial;Multilateral;;;N/A;Direito Internacional Privado;8716;;;15/11/1965;Em Vigor
Convenção sobre os Acordos para Escolha de Fôro.;Multilateral;;;N/A;Direito Internacional Privado;8715;;;15/11/1965;Tramitação MRE
Convenção Internacional de Telecomunicações.;Multilateral;;;N/A;Meios de Comunicação;8713;;;12/11/1965;Em Vigor
Protocolo para Nova Prorrogação do Acordo Internacional de Açucar de 1958.;Multilateral;;;N/A;Produtos de Base;8712;;;14/10/1965;Tramitação MRE
Emenda ao Artigo 28 da Convenção sobre a Organização Marítima Consultiva Intergovernamental;Multilateral;;;N/A;IMO (Organização Marítima Internacional);8711;;;28/09/1965;Em Vigor
Acordo entre Bancos Centrais dos Países Membros da ALALC, Relativo ao Sistema de Compensação Multilateral de Saldos Bilaterais de Contas entre Bancos Centrais.;Multilateral;;;N/A;Alalc;8710;;;22/09/1965;Superado
Convênio Interamericano de Sanidade Vegetal;Multilateral;;;N/A;"Agricultura e Pecuária 
Mercosul";8708;;;16/09/1965;Substituído
Convenção sobre Comércio de Trânsito dos Países Mediterrâneos.;Multilateral;;;N/A;Comércio Internacional;8707;;;08/07/1965;Em promulgação/MRE
Convenção nº 124 da OIT sobre Exame Médico dos Adolescentes (Trabalhos Subterrâneos).;Multilateral;;;N/A;Política do Trabalho;8705;;;23/06/1965;Em Vigor
Acordo Suplementar de Arbitramento (Ao Acordo de Comunicações por Satélite de 20 de Agosto de 1964).;Multilateral;;;N/A;Meios de Comunicação;8703;;;04/06/1965;Em Vigor
Terceiro Acordo Internacional do Estanho.;Multilateral;;;N/A;Produtos de Base;8702;;;01/06/1965;Em promulgação/MRE
Emenda ao Artigo 7 da Constituição da Organização Mundial de Saúde.;Multilateral;;;N/A;Saúde Pública;8701;;;20/05/1965;Tramitação MRE
Convenção para a Facilitação do Tráfego Marítimo Internacional (FAL-65);Multilateral;;;N/A;IMO (Organização Marítima Internacional);8700;;;09/04/1965;Em Vigor
Protocolo para a Prorrogação do Acordo Internacional do Trigo de 1962.;Multilateral;;;N/A;Produtos de Base;8699;;;22/03/1965;Tramitação MRE
Convenção para a Solução de Controvérsias Relativas aos Investimentos entre Estados e Nacionais de Outros Estados.;Multilateral;;;N/A;Mercosul;8698;;;18/03/1965;Em promulgação/MRE
Protocolo de Emenda ao GATT pela Inserção de uma Parte IV sobre Comércio e Desenvolvimento.;Multilateral;;;N/A;Gatt;8697;;;08/02/1965;Em Vigor
Convenção sobre Registro de Embarcações de Navegação Interior - 2 Protocolos (Prot.: nº 1 Relativo aos Direitos  In Rem sobre as Embarcações de Navegação Interior e Prot. nº 2 Relativo ao  Arresto e Arrematação Judicial de Embarcações de Navegação Interior).;Multilateral;;;N/A;Transporte Fluvial e Marítimo;8696;;;25/01/1965;Em promulgação/MRE
Convenção Aduaneira Relativa ao Material de Bem-Estar Destinado aos Marítimos.;Multilateral;;;N/A;Política Aduaneira;8695;;;01/12/1964;Em promulgação/MRE
Segunda Ata que Prorroga a Declaração de Adesão Provisória da Suiça de 22 de Novembro de 1958.;Multilateral;;;N/A;Gatt;8694;;;30/10/1964;Em Vigor
Segunda Ata que Prorroga a Declaração de Adesão Provisória da Argentina ao GATT.;Multilateral;;;N/A;Gatt;8693;;;30/10/1964;Em Vigor
Ata que Prorroga a Declaração sobre a Adesão Provisória da República Árabe Unida ao GATT.;Multilateral;;;N/A;Gatt;8692;;;30/10/1964;Em Vigor
Emendas aos Artigos 17 e 18 da Convenção sobre a Organização Marítima Consultiva Intergovernamental;Multilateral;;;N/A;IMO (Organização Marítima Internacional);8691;;;15/09/1964;Em Vigor
Convenção do Conselho Internacional para a Exploração do Mar.;Multilateral;;;N/A;Pesca;8690;;;12/09/1964;Em promulgação/MRE
Acordo que Estabelece um Regime Provisório Aplicável a um Sistema Comercial Mundial de Comunicações por Satélite.;Multilateral;;;N/A;Meios de Comunicação;8689;;;20/08/1964;Em Vigor
Acordo Especial (ao Acordo que Estabelece um Regime Provisório Aplicável a um Sistema Comercial Mundial de Telecomunicações por Satélite).;Multilateral;;;N/A;Meios de Comunicação;8688;;;20/08/1964;Em Vigor
Acordo Internacional do Cacau.;Multilateral;;;N/A;Produtos de Base;8687;;;24/07/1964;Em Vigor
Atos do XV Congresso da União Postal Universal - 5º Acordo sobre Encomendas Postais, Protocolo Final e Regulamento de Execução.;Multilateral;;;N/A;Política Postal;8686;;;10/07/1964;Em Vigor
Atos do XV Congresso da União Postal Universal - 4º Acordo sobre Cartas e Caixas com Valores Declarados, Protocolo Final e Regulamento de Execução.;Multilateral;;;N/A;Política Postal;8685;;;10/07/1964;Em Vigor
Atos do XV Congresso da União Postal Universal - 2º Regulamento Geral da União Postal Universal e Protocolo Final.;Multilateral;;;N/A;Política Postal;8684;;;10/07/1964;Em Vigor
Atos do XV Congresso da União Postal Universal - 1ª Constituição da União Postal Universal e Protocolo Final.;Multilateral;;;N/A;Política Postal;8683;;;10/07/1964;Em Vigor
Atos do XV Congresso da União Postal Universal (UPU) - 3ª Convenção Postal Universal, Protocolo Final e Regulamento de Execução.;Multilateral;;;N/A;Política Postal;8682;;;10/07/1964;Em Vigor
Atos do XV Congresso da União Postal Universal - 9º Acordo sobre Cobrança.;Multilateral;;;N/A;Política Postal;8681;;;10/07/1964;Em promulgação/MRE
Atos do XV Congresso da União Postal Universal - 8º Acordo sobre Remessa Contra Reembolso e Regulamento de Execução.;Multilateral;;;N/A;Política Postal;8680;;;10/07/1964;Em promulgação/MRE
Atos do XV Congresso da União Postal Universal - 7º Acordo sobre Transferências de Créditos e Regulamentos de Execução.;Multilateral;;;N/A;Política Postal;8679;;;10/07/1964;Em promulgação/MRE
Atos do XV Congresso da União Postal Universal - 6º Acordo sobre Vales Postais e Bônus Postais de Viagem e Regulamento de Execução.;Multilateral;;;N/A;Política Postal;8678;;;10/07/1964;Em promulgação/MRE
Atos do XV Congresso da União Postal Universal - 11º Acordo sobre Assinaturas de Jornais e Publicações Periódicas e Regulamento de Execução.;Multilateral;;;N/A;Política Postal;8677;;;10/07/1964;Em promulgação/MRE
Atos do XV Congresso da União Postal Universal - 10º Acordo sobre o Serviço Internacional de Poupança e Regulamento de Execução.;Multilateral;;;N/A;Política Postal;8676;;;10/07/1964;Em promulgação/MRE
Convenção nº 122 da OIT sobre Política de Emprego.;Multilateral;;;N/A;Política do Trabalho;8675;;;09/07/1964;Em Vigor
Instrumento de Emenda nº 3 à Constituição da OIT Permitindo a Expulsão ou a Suspensão de todo País Membro que seja Objeto de Expulsão ou de Suspensão por Parte das Nações Unidas.;Multilateral;;;N/A;Política do Trabalho;8674;;;09/07/1964;Tramitação MRE
Instrumento de Emenda da Constituição da Organização Mundial do Trabalho (nº 2), 1964.;Multilateral;;;N/A;Política do Trabalho;8673;;;09/07/1964;Superado
Convenção nº 120 da OIT sobre a Higiene no Comércio e nos Escritórios.;Multilateral;;;N/A;Política do Trabalho;8672;;;08/07/1964;Em Vigor
Instrumento de Emenda nº 01 à Constituição da OIT sobre a Substituição do Artigo 35 da Constituição.;Multilateral;;;N/A;Política do Trabalho;8670;;;06/07/1964;Em ratificação da(s) outra(s) Parte(s)
Convenção sobre Pesca.;Multilateral;;;N/A;Pesca;8667;;;09/03/1964;Tramitação MRE
Declaração sobre a Adesão Provisória da Islândia.;Multilateral;;;N/A;Gatt;8666;;;05/03/1964;Em Vigor
Protocolo Adicional à Convenção sobre a Responsabilidade Civil no Campo da Energia Nuclear.;Multilateral;;;N/A;Energia Nuclear;8665;;;28/01/1964;Em promulgação/MRE
Emendas aos Artigos 23, 27 e 61 da Carta das Nações Unidas.;Multilateral;;;N/A;ONU;8664;;;17/12/1963;Em Vigor
Segunda Ata que Prorroga a Declaração de 12 de Novembro de 1959, sobre a Adesão Provisória da Tunísia.;Multilateral;;;N/A;Gatt;8663;;;12/12/1963;Em promulgação/MRE
Adequação do Ajuste de Complementação nº 24 (Indústria Eletrônica e de Comunicações) à Modalidade de Acordos de Alcance Parcial de Natureza Comercial.;Multilateral;;;N/A;Alalc;8662;;;08/12/1963;Tramitação MRE
Acordo para o Estabelecimento de Uma Comissão para o Controle do Gafanhoto de Deserto na Região Oriental de sua Área de Distribuição no Sudoeste da Ásia.;Multilateral;;;N/A;Saúde Pública;8661;;;03/12/1963;Tramitação MRE
Acordo Tripartite;Multilateral;;;N/A;IBAS (Índia Brasil e África do Sul);8659;;;16/11/1963;Tramitação MRE
Emenda à Convenção que Institui uma Organização de Metrologia Legal, de 12 de Outubro de 1955.;Multilateral;;;N/A;Metrologia;8658;;;12/11/1963;Em Vigor
Convenção Relativa às Infrações e a Certos Outros Atos Cometidos a Bordo de Aeronaves;Multilateral;;;N/A;Terrorismo;8657;;;14/09/1963;Em Vigor
Tratado para a Proscrição das Experiências com Armas Nucleares na Atmosfera, no Espaço Cósmico e sob a Água.;Multilateral;;;N/A;Energia Nuclear;8656;;;05/08/1963;Em Vigor
Tratado para a Proscrição das Experiências com Armas Nucleares na Atmosfera, no Espaço Cósmico e sob a Água.;Multilateral;;;N/A;Energia Nuclear;8655;;;05/08/1963;Em Vigor
Tratado para a Proscrição das Experiências com Armas Nucleares na Atmosfera no Espaço Cósmico e sob a Água.;Multilateral;;;N/A;Energia Nuclear;8654;;;05/08/1963;Em Vigor
Acordo que Estabelece o Banco Africano de Desenvolvimento.;Multilateral;;;N/A;"Bancos Internacionais 
Mercosul";8653;;;04/08/1963;Em Vigor
Protocolo para Prorrogação do Acordo Internacional do Açucar.;Multilateral;;;N/A;Produtos de Base;8652;;;01/08/1963;Em Ratificação
Protocolo sobre Adesão da Espanha.;Multilateral;;;N/A;Gatt;8651;;;01/07/1963;Em promulgação/MRE
Convenção nº 119 da OIT sobre Proteção das Máquinas.;Multilateral;;;N/A;Política do Trabalho;8650;;;25/06/1963;Em Vigor
Convênio Interamericano para Facilitar o Transporte Aquático Internacional (Convênio de Mar Del Plata).;Multilateral;;;N/A;Transporte Fluvial e Marítimo;8649;;;07/06/1963;Em promulgação/MRE
Convenção de Viena sobre Responsabilidade Civil por Danos Nucleares;Multilateral;;;N/A;Energia Nuclear;8648;;;21/05/1963;Em Vigor
Protocolo Opcional à Convenção de Viena sobre Responsabilidade Civil por Danos Nucleares, Relativo à Solução Compulsória de conflitos.;Multilateral;;;N/A;Solução de Controvérsias;8647;;;21/05/1963;Tramitação MRE
Protocolo Suplementar ao Protocolo que Incorpora os Resultados da Comissão Tarifária 1960-1961.;Multilateral;;;N/A;Gatt;8646;;;06/05/1963;Em promulgação/MRE
Protocolo nr.02 da Convenção para a Proteção dos Direitos do Homem e das Liberdades Fundamentais, atribuindo à Corte Européia de Direitos Humanos,  Competência para Emitir Pareceres.;Multilateral;;;N/A;Convenções Européias;8645;;;06/05/1963;Em promulgação/MRE
Emendas Diversas à Convenção da Organização Meteorológica Mundial.;Multilateral;;;N/A;Meteorologia;8642;;;27/04/1963;Em promulgação/MRE
Convenção de Viena sobre Relações Consulares;Multilateral;;;N/A;Relações Diplomáticas e Consulares;8641;;;24/04/1963;Em Vigor
Protocolo Facultativo sobre Aquisição de Nacionalidade à Convenção de Viena sobre Relações Consulares.;Multilateral;;;N/A;Relações Diplomáticas e Consulares;8640;;;24/04/1963;Em promulgação/MRE
Protocolo Facultativo à Convenção de Viena sobre Relações Consulares Relativa à Solução Compulsória de Controvérsias.;Multilateral;;;N/A;Relações Diplomáticas e Consulares;8639;;;24/04/1963;Em promulgação/MRE
Convenção Internacional de Azeite de Oliva.;Multilateral;;;N/A;Organização Internacional para Migrações;8638;;;20/04/1963;Tramitação MRE
Emenda ao Artigo 13 da Convenção da Organização Meteorológica Mundial.;Multilateral;;;N/A;Meteorologia;8637;;;11/04/1963;Em promulgação/MRE
Convenção Suplementar a Convenção de Paris de 29/07/60 Relativa a Responsabilidade Civil no Campo da Energia Nuclear.;Multilateral;;;N/A;Energia Nuclear;8636;;;31/01/1963;Em promulgação/MRE
Décimo Protocolo de Concessões Adicionais (Japão e Nova Zelândia).;Multilateral;;;N/A;Gatt;8635;;;28/01/1963;Em promulgação/MRE
Convenção sobre a Responsabilidade Civil dos Hoteleiros quanto à Propriedade de seus Hospedes.;Multilateral;;;N/A;Convenções Européias;8634;;;17/12/1962;Em promulgação/MRE
Convenção sobre Consentimento para Casamento, Idade Mínima para Casamento e Registro de Casamento.;Multilateral;;;N/A;Direito Internacional Privado;8633;;;10/12/1962;Em Vigor
Protocolo que Institue uma Comissão de Conciliação e de Bons Ofícios Encarregada de Achar a Solução de Controvérsias que Surgirem entre os Estados Partes na Convenção Relativa à Luta Contra a Discriminação no Campo do Ensino.;Multilateral;;;N/A;Educação;8632;;;10/12/1962;Em promulgação/MRE
Declaração sobre a Adesão Provisória da República Árabe Unida.;Multilateral;;;N/A;Gatt;8631;;;13/11/1962;Em Vigor
Declaração sobre a Adesão Provisória da Iugoslávia.;Multilateral;;;N/A;Gatt;8630;;;13/11/1962;Em Vigor
Ata que Prorroga a Declaração de 18 de Novembro de 1960 sobre a Adesão Provisória da Argentina.;Multilateral;;;N/A;Gatt;8629;;;07/11/1962;Em Vigor
Convênio Internacional do Café.;Multilateral;;;N/A;Produtos de Base;8628;;;28/09/1962;Expirado
Protocolo da Associação Latino-Americana de Livre Comércio, Relativo aos Artigos 16 e 17 do Tratado de Montevidéu e Resolução 15(I) da Conferência das Partes Contratantes.;Multilateral;;;N/A;Alalc;8627;;;20/07/1962;Tramitação MRE
Protocolo que Incorpora os Resultados da Conferência Tarifária 1960-1961.;Multilateral;;;N/A;Gatt;8626;;;16/07/1962;Em promulgação/MRE
Convenção 118 sobre a Igualdade de Tratamento dos Nacionais e dos Não-Nacionais em Matéria de Previdência Social.;Multilateral;;;N/A;Política do Trabalho;8625;;;28/06/1962;Em Vigor
Convenção nº 117 da OIT sobre os Objetivos e as Normas Básicas da Política Social.;Multilateral;;;N/A;Política do Trabalho;8624;;;22/06/1962;Em Vigor
Instrumento de Emenda à Constituição da OIT - 46ª Sessão.;Multilateral;;;N/A;Política do Trabalho;8623;;;22/06/1962;Em Vigor
Convenção Centro-Americana para a Unificação das Normas Fundamentais de Ensino.;Multilateral;;;N/A;Educação;8622;;;22/06/1962;Em promulgação/MRE
Co.;Multilateral;;;N/A;Educação;8621;;;22/06/1962;Tramitação MRE
Convenção para o Estabelecimento de uma Organização Européia de Pesquisas Espaciais.;Multilateral;;;N/A;Convenções Européias;8620;;;14/06/1962;Em promulgação/MRE
Convenção sobre a Responsabilidade dos Operadores de Navios Nucleares e Protocolo Adicional.;Multilateral;;;N/A;Transporte Fluvial e Marítimo;8619;;;25/05/1962;Tramitação MRE
Acordo Europeu, Relativo à Troca dos Reativos para a Determinação dos Grupos Sanguíneos e Protocolo.;Multilateral;;;N/A;Convenções Européias;8618;;;14/05/1962;Tramitação MRE
Emendas à Convenção Internacional para a Prevenção da Poluição do Mar por Óleo (Anexo à Ata Final da Conferência dos Governos Partes da Convenção Internacional para a Prevenção da Poluição do Mar por Óleo).;Multilateral;;;N/A;IMO (Organização Marítima Internacional);8617;;;11/04/1962;Denunciado
Protocolo de Adesão de Portugal.;Multilateral;;;N/A;Gatt;8616;;;06/04/1962;Em promulgação/MRE
Protocolo de Adesão de Israel.;Multilateral;;;N/A;Gatt;8615;;;06/04/1962;Em promulgação/MRE
Protocolo de Adesão do Camboja (Khmer).;Multilateral;;;N/A;Gatt;8614;;;06/04/1962;Tramitação MRE
Acordo que Institui o Centro Latino-Americano de Física (Com sede no Centro Brasileiro de Pesquisas Físicas).;Multilateral;;;N/A;Ciência e Tecnologia;8613;;;26/03/1962;Em Vigor
Acordo Internacional do Trigo.;Multilateral;;;N/A;Produtos de Base;8612;;;10/03/1962;Em Vigor
Acordo de Longo Prazo Referente ao Comércio Internacional de Têxteis de Algodão.;Multilateral;;;N/A;Gatt;8611;;;09/02/1962;Em promulgação/MRE
Carta da Aliança dos Países Produtores de Cacau;Multilateral;;;N/A;Produtos de Base;8610;;;19/01/1962;Tramitação Ministérios/Casa Civil
Acordo sobre Equipamento Especial para Transporte de Gêneros Comestíveis Perecíveis e sobre o Uso de Tal Equipamento para o Transporte Internacional de Alguns Daqueles Comestíveis.;Multilateral;;;N/A;Transporte Terrestre;8609;;;15/01/1962;Tramitação MRE
Protocolo nº 4 do Acordo Geral sobre Privilégios e Imunidades do Conselho da Europa (Decisões da Corte Européia de Direitos Humanos).;Multilateral;;;N/A;Convenções Européias;8608;;;16/12/1961;Tramitação MRE
Ata que Prorroga a Validade da Declaração de 12 de Novembro de 1959 sobre a Adesão Provisória da Tunísia.;Multilateral;;;N/A;Gatt;8607;;;09/12/1961;Em Vigor
Ata que Prorroga a Declaração sobre a Adesão Provisória da Suiça ao GATT de 22 de Novembro de 1958.;Multilateral;;;N/A;Gatt;8606;;;08/12/1961;Em Vigor
Convenção Aduaneira sobre a Caderneta A.T.A. para a Admissão Temporária de Mercadorias (Convenção A.T.A.).;Multilateral;;;N/A;Política Aduaneira;8605;;;06/12/1961;Em promulgação/MRE
Emendas à Comissão Internacional do Arroz;Multilateral;;;N/A;Energia Nuclear;8604;;;23/11/1961;Tramitação MRE
Atos de Mônaco Adicional ao Acordo de Haia Relativo ao Depósito Internacional de Desenhos ou Modelos Industriais Revisto em Londres a 02 de Junho de 1934.;Multilateral;;;N/A;Propriedade Intelectual e Industrial;8603;;;18/11/1961;Denunciado
Emendas à Constituição da FAO.;Multilateral;;;N/A;Mercosul;8602;;;30/10/1961;Tramitação MRE
Convenção Internacional para a Proteção aos Artistas Intérpretes ou Executantes, aos Produtores de Fonogramas e aos Organismos de Radiodifusão;Multilateral;;;N/A;"Energia Nuclear 
Meios de Comunicação";8601;;;26/10/1961;Em Vigor
Carta Social Européia.;Multilateral;;;N/A;Convenções Européias;8600;;;18/10/1961;Em promulgação/MRE
Protocolo Destinado a Regulamentar a Ação dos Submarinos em Relação aos Navios Mercantes em Tempo de Guerra.;Multilateral;;;N/A;Convenções Européias;8599;;;05/10/1961;Em promulgação/MRE
Convenção sobre a Competência das Autoridades e a Lei Aplicável em Matéria e Proteção de Menores.;Multilateral;;;N/A;Direito Internacional Privado;8597;;;05/10/1961;Em promulgação/MRE
"Convenção sobre a Eliminação da Exigência de Legalização de Documentos Públicos Estrangeiros (""Convenção da Apostila"")";Multilateral;;;N/A;Direito Internacional Privado;8596;;;05/10/1961;Em Vigor
Emenda ao Artigo VI-A-3 do Estatuto da Agência Internacional de Energia Nuclear.;Multilateral;;;N/A;Terrorismo;8595;;;04/10/1961;Em promulgação/MRE
Convenção Complementar à Convenção de Varsóvia para Unificação de Certas Regras Relativas ao Transporte Aéreo Internacional Realizado por quem Não Seja o Transportador Contratual.;Multilateral;;;N/A;Terrorismo;8594;;;18/09/1961;Em Vigor
Acordo sobre Privilégios e Imunidades da ALALC no Território dos Estados Membros;Multilateral;;;N/A;Privilégios e Imunidades;8593;;;01/09/1961;Em Vigor
Modificações aos Convênios Constitutivos da Corporação Financeira Internacional - CFI e do Banco Internacional para a Reconstrução e Desenvolvimento - BIRD;Multilateral;;;N/A;"Aladi 
Bancos Internacionais";8592;;;01/09/1961;Em Vigor
Convenção sobre Redução de Casos de Apatridia;Multilateral;;;N/A;Direito Internacional Privado;8591;;;30/08/1961;Em Vigor
Carta de Punta del Este (Estabelecimento da Aliança para o Progresso Dentro da Estrutura da Operação Pan-Americana.;Multilateral;;;N/A;OEA;8590;;;05/08/1961;Tramitação MRE
Convenção nº 116 da OIT sobre Revisão dos Artigos Finais.;Multilateral;;;N/A;Política do Trabalho;8589;;;26/06/1961;Em Vigor
Protocolo de Emenda ao Artigo 50a, da Convenção de Aviação Civil Internacional.;Multilateral;;;N/A;Transporte Aéreo;8588;;;21/06/1961;Substituído
Convenção Aduaneira sobre as Facilidades Concedidas para a Importação de Mercadorias Destinadas a Apresentação em Exposições, Feiras, Congressos ou Manifestações Similares.;Multilateral;;;N/A;Política Aduaneira;8587;;;08/06/1961;Em promulgação/MRE
Convenção Aduaneira Relativa à Importação Temporária de Material Profissional.;Multilateral;;;N/A;Política Aduaneira;8586;;;08/06/1961;Em promulgação/MRE
Convenção Internacional para a Unificação de Certas Regras em Matéria de Transporte de Passageiros por Mar e Protocolo.;Multilateral;;;N/A;Transporte Fluvial e Marítimo;8585;;;29/04/1961;Denunciado
Convenção Européia sobre Arbitragem Comercial Internacional.;Multilateral;;;N/A;Convenções Européias;8584;;;21/04/1961;Em promulgação/MRE
Convenção de Viena sobre Relações Diplomáticas.;Multilateral;;;N/A;ONU;8583;;;18/04/1961;Em Vigor
Protocolo Opcional à Convenção de Viena sobre Relações Diplomáticas sobre Aquisição de Nacionalidade.;Multilateral;;;N/A;Relações Diplomáticas e Consulares;8582;;;18/04/1961;Em promulgação/MRE
Protocolo Opcional à Convenção de Viena sobre Relações Diplomáticas à Solução Compulsória de Controvérsias.;Multilateral;;;N/A;Relações Diplomáticas e Consulares;8581;;;18/04/1961;Em promulgação/MRE
Convenção Única sobre Entorpecentes.;Multilateral;;;N/A;Entorpecentes;8580;;;30/03/1961;Em Vigor
Convenção Internacional Relativa ao Transporte de Mercadorias por Via Férrea (CIM).;Multilateral;;;N/A;Transporte Terrestre;8579;;;25/02/1961;Tramitação MRE
Protocolo para a Concenssão de Novo Prazo à Bolívia para Firmar o Tratado de Montevidéu na Qualidade de Estado Signatário.;Multilateral;;;N/A;Alalc;8578;;;01/02/1961;Superado
Convenção Relativa à Luta Contra a Discriminação no Campo do Ensino.;Multilateral;;;N/A;Educação;8577;;;14/12/1960;Em Vigor
Convenção Relativa à Organização de Cooperação e Desenvolvimento Econômico. (OCDE).;Multilateral;;;N/A;Economia;8576;;;14/12/1960;Tramitação MRE
Convenção Européia sobre Tratamento Aduaneiro de Paletas Utilizadas em Transporte Internacional.;Multilateral;;;N/A;Convenções Européias;8574;;;09/12/1960;Em promulgação/MRE
Revisão de Haia do Acordo de Haia Relativo ao Depósito de Desenhos ou Modelos Industriais de 1925.;Multilateral;;;N/A;Propriedade Intelectual e Industrial;8573;;;28/11/1960;Tramitação MRE
Primeira Declaração sobre a Prorrogação do Status Quo Previsto no Artigo 16, Parágrafo 4 do GATT.;Multilateral;;;N/A;Gatt;8572;;;19/11/1960;Em promulgação/MRE
Declaração que poe em Vigor as Disposições do Artigo 16, Parágrafo 4 do GATT.;Multilateral;;;N/A;Gatt;8571;;;19/11/1960;Em promulgação/MRE
Protocolos de Negociações Tarifárias, Realizadas com a Áustria, Austrália, Dinamarca, Estados Unidos da América, Finlândia, Japão e Suécia, sobre o Acordo Geral de Tarifas Aduaneiras e Comércio (GATT), no Período de Novembro de 1960 e Junho de 1961.;Multilateral;;;N/A;Gatt;8570;;;19/11/1960;Em Vigor
Declaração sobre a Adesão Provisória da Argentina.;Multilateral;;;N/A;Gatt;8569;;;18/11/1960;Em Vigor
Atos do VIII Congresso da União Postal das Américas e Espanha (Convênio e Regulamento da Repartição Internacional de Transbordo).;Multilateral;;;N/A;Política Postal;8568;;;14/10/1960;Tramitação MRE
Convenção Aduaneira sobre a Importação Temporária de Embalagens.;Multilateral;;;N/A;Política Aduaneira;8567;;;06/10/1960;Em promulgação/MRE
Declaração Conjunta sobre o Aproveitamento dos Rápidos do Rio Uruguai na Zona de Salto Grande.;Multilateral;;;N/A;Águas Internacionais;8566;;;23/09/1960;Tramitação MRE
Acordo Internacional do Estanho.;Multilateral;;;N/A;Produtos de Base;8565;;;01/09/1960;Tramitação MRE
Protocolo que Concede Novo Prazo à Bolívia para Firmar o Tratado de Montevidéu como Estado Signatário.;Multilateral;;;N/A;Alalc;8564;;;24/08/1960;Superado
Convenção sobre a Responsabilidade Civil no Campo da Energia Nuclear (Com Protocolo Adicional).;Multilateral;;;N/A;Energia Nuclear;8563;;;29/07/1960;Em promulgação/MRE
Protocolo sobre a Capacidade Jurídica, Privilégios e Imunidades da Associação Européia de Livre Comércio.;Multilateral;;;N/A;Convenções Européias;8562;;;28/07/1960;Em promulgação/MRE
Convenção nº 115 da OIT sobre a Proteção dos Trabalhadores Contra Radiações Ionizantes.;Multilateral;;;N/A;Política do Trabalho;8561;;;22/06/1960;Em Vigor
Regras para Evitar Abalroamento no Mar.;Multilateral;;;N/A;IMO (Organização Marítima Internacional);8560;;;17/06/1960;Em Vigor
Convenção Internacional para a Salvaguarda da Vida Humana no Mar. (SOLAS-60).;Multilateral;;;N/A;IMO (Organização Marítima Internacional);8559;;;17/06/1960;Em Vigor
Emenda ao Artigo XVI da Convenção sobre a Nomenclatura para a Classificação das Mercadorias.;Multilateral;;;N/A;Política Aduaneira;8558;;;16/06/1960;Tramitação MRE
Comissão Oceanográfica Internacional (Estabelecida pela Resolução 231 Adotada pela Conferência Geral da Unesco Durante sua 11ª Sessão, em Conformidade com a Recomendação da Conferência Intergovernamental de Pesquisas Oceânicas).;Multilateral;;;N/A;Águas Internacionais;8557;;;11/06/1960;Tramitação MRE
Convenção Relativa a Certificados de Navegabilidade de Aeronaves Importadas.;Multilateral;;;N/A;Transporte Aéreo;8556;;;22/04/1960;Tramitação MRE
Convenção sobre a Unificação de Certas Regras Relativas a Abalroamento em Navegação Interior.;Multilateral;;;N/A;Transporte Fluvial e Marítimo;8555;;;15/03/1960;Tramitação MRE
Acordo Internacional do Trigo.;Multilateral;;;N/A;Produtos de Base;8554;;;10/03/1960;Tramitação MRE
